date,file,rows,turnover,volume,trades,scrips,brokers,bytes
2026-08-07,floorsheet_2026-08-07.parquet,46912,3774361541.21,10313979,46912,334,91,590240
2026-08-06,floorsheet_2026-08-06.parquet,60381,4622777442.29,10804426,60381,347,91,720244
2026-08-05,floorsheet_2026-08-05.parquet,61000,4401572688.81,10057110,61000,349,91,719005
2026-08-04,floorsheet_2026-08-04.parquet,52272,4070853610.94,10761396,52272,343,91,648530
2026-08-03,floorsheet_2026-08-03.parquet,63648,4572084231.4,11449987,63648,349,91,753063
2026-07-31,floorsheet_2026-07-31.parquet,46752,3759722340.76,8851216,46752,337,91,586473
2026-07-30,floorsheet_2026-07-30.parquet,44651,3381318248.02,7548591,44651,337,91,557417
2026-07-29,floorsheet_2026-07-29.parquet,48071,4029330921.28,9777442,48071,343,90,599568
2026-07-28,floorsheet_2026-07-28.parquet,55580,4427305542.17,10421863,55580,342,91,687959
2026-07-27,floorsheet_2026-07-27.parquet,69803,6080863354.65,13925337,69803,360,91,868772
2026-07-24,floorsheet_2026-07-24.parquet,70158,6267226722.57,13769100,70158,353,90,874418
2026-07-23,floorsheet_2026-07-23.parquet,57782,4693449370.68,10077222,57782,338,91,706048
2026-07-22,floorsheet_2026-07-22.parquet,56094,5187467073.77,11362465,56094,346,91,701316
2026-07-21,floorsheet_2026-07-21.parquet,75010,6671017971.84,14924302,75010,343,91,938008
2026-07-20,floorsheet_2026-07-20.parquet,67155,5512688979.28,12245337,67155,343,90,830145
2026-07-17,floorsheet_2026-07-17.parquet,58094,4575094723.51,10389077,58094,335,91,725941
2026-07-16,floorsheet_2026-07-16.parquet,39595,4562950700.46,9469099,39595,371,91,499484
2026-07-15,floorsheet_2026-07-15.parquet,38836,4170398049.64,8473016,38836,362,91,484665
2026-07-14,floorsheet_2026-07-14.parquet,53854,8417570425.82,18293596,53854,383,91,666614
2026-07-13,floorsheet_2026-07-13.parquet,51295,7468416116.81,41725323,51295,368,91,631312
2026-07-10,floorsheet_2026-07-10.parquet,53432,6860718658.0,10660537,53432,367,91,634304
2026-07-09,floorsheet_2026-07-09.parquet,57864,4611954782.83,8751380,57864,361,91,663918
2026-07-08,floorsheet_2026-07-08.parquet,77627,4826084825.28,8463015,77627,362,91,829732
2026-07-07,floorsheet_2026-07-07.parquet,72022,4400752542.1,9519452,72022,352,91,802339
2026-07-06,floorsheet_2026-07-06.parquet,46246,3557981498.91,7540418,46246,356,90,566316
2026-07-02,floorsheet_2026-07-02.parquet,43131,4117785700.28,8964223,43131,359,91,526282
2026-07-01,floorsheet_2026-07-01.parquet,56850,3861183410.26,9547678,56850,362,91,672216
2026-06-30,floorsheet_2026-06-30.parquet,79286,3258758014.1,8737392,79286,365,91,876209
2026-06-29,floorsheet_2026-06-29.parquet,44942,2671832965.38,7699227,44942,351,91,553205
2026-06-26,floorsheet_2026-06-26.parquet,39546,3945804552.36,7727649,39546,359,91,495780
2026-06-25,floorsheet_2026-06-25.parquet,46751,2838279411.62,6480599,46751,338,91,555347
2026-06-24,floorsheet_2026-06-24.parquet,72917,4418607486.62,10777582,72917,338,91,862523
2026-06-23,floorsheet_2026-06-23.parquet,72854,4362194771.59,10040164,72854,353,91,833204
2026-06-22,floorsheet_2026-06-22.parquet,90862,4446520247.39,8138433,90862,353,91,942353
2026-06-19,floorsheet_2026-06-19.parquet,61170,4534983568.16,10922525,61170,353,91,689257
2026-06-18,floorsheet_2026-06-18.parquet,41104,3414823798.68,7743030,41104,347,91,520299
2026-06-17,floorsheet_2026-06-17.parquet,44542,3637589010.09,8375471,44542,352,91,561028
2026-06-16,floorsheet_2026-06-16.parquet,48116,4047858084.12,10708596,48116,355,91,599100
2026-06-15,floorsheet_2026-06-15.parquet,51702,4412048609.9,10739998,51702,350,91,641855
2026-06-12,floorsheet_2026-06-12.parquet,54177,4341094764.19,9856525,54177,342,91,670987
2026-06-11,floorsheet_2026-06-11.parquet,58391,3906244894.06,9231216,58391,350,91,692201
2026-06-10,floorsheet_2026-06-10.parquet,49248,4297464327.6,9283326,49248,356,91,614912
2026-06-09,floorsheet_2026-06-09.parquet,63732,6443190291.71,12382017,63732,357,90,798923
2026-06-08,floorsheet_2026-06-08.parquet,56845,4084896190.31,9236677,56845,356,91,713171
2026-06-05,floorsheet_2026-06-05.parquet,55467,5625611823.7,12732868,55467,351,91,705316
2026-06-04,floorsheet_2026-06-04.parquet,51601,4703326944.97,10617483,51601,353,90,651362
2026-06-03,floorsheet_2026-06-03.parquet,62148,5738178165.24,13521619,62148,347,91,790331
2026-06-02,floorsheet_2026-06-02.parquet,61527,5265275299.01,11385100,61527,346,91,772605
2026-06-01,floorsheet_2026-06-01.parquet,63719,5614374928.74,13383816,63719,349,90,801630
2026-05-27,floorsheet_2026-05-27.parquet,60562,6030064840.96,15249712,60562,354,91,766436
2026-05-26,floorsheet_2026-05-26.parquet,52751,4854444170.67,11872507,52751,342,91,666745
2026-05-25,floorsheet_2026-05-25.parquet,75856,5986412600.49,14540022,75856,342,91,941513
2026-05-22,floorsheet_2026-05-22.parquet,54497,4498516094.11,10888739,54497,336,91,679821
2026-05-21,floorsheet_2026-05-21.parquet,44744,3898418385.27,8955545,44744,348,91,564668
2026-05-20,floorsheet_2026-05-20.parquet,52336,3820896966.85,10661476,52336,346,91,650022
2026-05-19,floorsheet_2026-05-19.parquet,45519,3087730962.64,7816478,45519,346,91,565349
2026-05-18,floorsheet_2026-05-18.parquet,43309,2450878449.3,5828604,43309,339,90,542022
2026-05-15,floorsheet_2026-05-15.parquet,43674,3097953486.78,7934444,43674,338,91,552124
