Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Agriculture Development Bank,2025/26 Q4,308.80,311.42,4.80,-3.50%,1.58%,-0.06%,4.68%,0.15%,"42,784,932,947.20","19,738,231.09","19,168,096.67","20,974,502.04","9,121,508.26","2,630,641.83","572,659.22",44.99%,35.99%,0.00%,32.97%,22.37%,43.49%,27.16%,0.00%,18.80%,12.54%,6.94%,13.91%,6.96%,0.64%,1.21%,0.67%,16.11,32.30,16.11,16.11,233.99,19.16,19.16,9.56,19.16,1.31,0.00%,12.91%,90.74%,1079.86%,0.79,0.84,-1.19%,-1.69%,-10.50%,-14.75%,2.41%,0.01%,24100.00%,93.07%,41.29,3.63%,2.05%,-7.79%,-0.28
Api Power,2025/26 Q3,331.90,337.79,0.70,-0.33%,1.19%,-4.63%,18.64%,17.55%,"20,166,004,368.20","6,379,724.19","977,657.04","1,304,385.66","1,130,238.00","658,546.63",0.00,83.98%,2.33%,146.55%,115.52%,67.31%,86.05%,1.79%,95.45%,71.44%,41.67%,12.11%,12.82%,10.50%,6.63%,7.01%,5.67%,13.76,14.56,11.48,13.76,115.32,24.11,24.11,22.78,28.89,2.87,208.57%,26.42%,64.14%,185.04%,1.26,1.50,-1.73%,-2.47%,-16.58%,-23.79%,3.35%,0.29%,1155.17%,57.34%,44.49,-0.24%,8.39%,-8.87%,-0.07
Arun Kabeli Power Ltd.,2025/26 Q3,258.00,270.08,-5.90,0.43%,3.20%,-3.01%,4.96%,-2.53%,"10,051,530,618.00","3,895,942.10","133,062.77","498,284.73","447,270.46","143,780.05",0.00,80.48%,0.03%,84.50%,35.80%,-9.33%,106.28%,0.60%,111.24%,76.88%,42.38%,4.75%,-1.06%,7.17%,2.73%,-0.61%,4.34%,4.92,-1.09,7.23,4.92,103.41,52.43,52.43,-234.68,35.67,2.49,465.35%,44.57%,49.52%,171.05%,1.36,1.14,-1.94%,-2.76%,-14.30%,-20.19%,3.73%,-0.11%,-3390.91%,44.24%,47.16,-1.86%,0.00%,-16.77%,0.22
Arun Valley Hydropower Development,2025/26 Q3,268.00,280.73,-2.00,0.37%,3.04%,-3.60%,2.84%,-4.31%,"10,312,648,040.00","4,040,403.15","432,889.08","229,118.15","201,121.97","133,685.44",0.00,87.47%,2.74%,118.33%,75.10%,59.97%,87.04%,2.09%,137.49%,105.40%,78.30%,4.00%,3.01%,5.50%,3.78%,2.85%,5.19%,4.41,3.32,5.93,4.41,110.71,60.74,60.74,80.51,45.13,2.42,4286.09%,2271.17%,6.37%,105.56%,1.36,1.35,-1.87%,-2.66%,-16.76%,-23.82%,3.33%,-0.11%,-3027.27%,44.27%,47.38,-1.63%,-1.61%,-15.43%,-0.09
Asian Life Insurance,2025/26 Q3,424.80,452.07,1.80,-0.91%,1.14%,-6.47%,-3.03%,-9.40%,"21,244,924,706.40","5,001,159.20","717,318.76","10,062,267.52","1,353,167.60","347,386.58",0.00,13.54%,13.15%,5.29%,5.14%,2.38%,13.10%,5.58%,6.62%,6.48%,3.05%,7.96%,5.76%,8.23%,0.77%,0.56%,0.74%,9.26,6.70,8.43,9.26,125.01,45.86,45.86,63.36,50.34,3.71,0.00%,0.00%,89.68%,969.32%,1.00,1.22,-1.44%,-2.04%,-13.38%,-18.88%,2.60%,-0.20%,-1300.00%,60.76%,40.19,-2.69%,-1.71%,-14.87%,-0.18
Barun Hydropower,2025/26 Q3,322.70,345.25,4.70,-0.12%,3.43%,-6.73%,2.80%,-5.13%,"3,458,150,010.00","1,122,532.42","49,853.35","75,366.95","64,651.06","16,953.84",0.00,81.87%,22.86%,59.20%,6.69%,-37.21%,98.83%,10.34%,89.88%,59.65%,33.34%,1.86%,-1.56%,3.47%,1.56%,-1.31%,2.74%,2.01,-1.68,2.96,2.01,107.71,160.24,160.24,-190.96,109.00,2.99,1951.00%,1179.07%,19.63%,119.25%,1.09,0.88,-1.76%,-2.52%,-11.92%,-17.23%,3.96%,-0.28%,-1414.29%,48.39%,45.20,-3.59%,-2.27%,-17.89%,0.00
Bishal Bazar,2022/23 Q4,"4,278.00","4,615.10",-22.00,-0.05%,4.32%,-11.13%,-11.22%,-22.58%,"171,547,800,000.00","4,010,000.00","1,161,068.96","180,120.86","170,736.40","147,361.91",-,94.79%,28.77%,111.94%,110.24%,81.81%,94.79%,28.77%,111.94%,110.24%,81.81%,5.70%,22.80%,7.23%,5.31%,21.25%,6.76%,3.67,14.69,3.67,3.67,128.95,"1,164.11","1,164.11",291.03,"1,164.11",33.17,411.71%,411.71%,0.00%,107.30%,0.98,0.71,-1.92%,-2.73%,-11.51%,-16.07%,3.25%,-0.51%,-637.25%,44.37%,50.41,-7.11%,-9.16%,-23.45%,-0.03
Bottlers Nepal (Balaju),2025/26 Q3,"14,500.00","15,061.75",0.00,-1.36%,1.39%,-4.59%,-10.77%,-15.70%,"28,258,861,500.00","194,889.00","6,230,926.00","7,744,894.00","2,227,365.00","219,949.00",0.00,32.13%,22.38%,9.75%,9.75%,6.43%,26.97%,18.77%,15.97%,15.97%,-1.69%,4.63%,11.92%,-3.07%,2.19%,5.62%,-1.41%,150.47,387.25,-100.89,150.47,"3,297.16",96.35,96.35,37.44,-143.71,4.39,110.91%,68.63%,55.27%,223.57%,0.22,0.06,-2.01%,-2.88%,-30.39%,-44.54%,2.68%,-0.36%,-744.44%,64.69%,46.58,2.63%,-7.72%,-16.67%,1.17
Bottlers Nepal (Terai),2025/26 Q3,"11,610.00","11,710.15",0.00,-0.09%,0.52%,-2.44%,-1.61%,-8.22%,"14,048,100,000.00","121,000.00","3,675,804.00","5,651,476.00","1,648,168.00","277,051.00",0.00,28.65%,19.47%,9.18%,9.18%,6.36%,25.50%,18.28%,17.50%,17.50%,-4.91%,9.91%,15.19%,-10.81%,4.15%,6.36%,-4.45%,305.29,467.95,-339.89,305.29,"3,137.85",38.02,38.02,24.80,-34.15,3.69,90.20%,46.93%,60.11%,250.68%,0.72,0.53,-1.90%,-2.70%,-8.90%,-12.72%,2.27%,-0.15%,-1513.33%,48.95%,50.40,3.90%,-0.04%,-8.22%,-0.92
Butwal Power,2025/26 Q3,653.00,689.13,8.00,0.46%,0.46%,-3.62%,-12.36%,-27.02%,"22,261,191,838.00","3,409,065.00","3,914,844.00","622,704.00","315,933.00","299,317.00",0.00,36.45%,39.40%,60.88%,60.88%,46.60%,46.10%,19.30%,50.71%,50.71%,39.51%,5.47%,4.06%,4.33%,5.44%,4.03%,4.30%,11.70,8.67,9.24,11.70,214.83,55.77,55.77,75.27,70.63,3.03,1263.40%,227.00%,6.88%,100.52%,1.19,1.14,-1.88%,-2.68%,-17.07%,-24.55%,4.17%,-0.57%,-731.58%,40.25%,45.67,0.13%,-5.98%,-27.02%,-0.85
