Company,Symbol,Note
Agriculture Development Bank,ADBL,Agricultural Development Bank Limited
Chhimek Laghubitta Bikas Bank,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited
Citizen Bank International,CZBIL,Citizens Bank International Limited
Deprosc Laghubitta,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited
First Micro Finance Development Bank,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited
Ganapati Microfinance Bittiya Sanstha,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited
Grameen Bikas Laghubitta,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.
Hydroelectricity Investment and Development Company,HIDCL,Hydorelectricity Investment and Development Company Ltd
Janautthan Samudayic Laghubitta Bikas Bank,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited
Life Insurance Nepal,LICN,Life Insurance Corporation (Nepal) Limited
Mahuli Samudayik Laghubitta Sanstha Ltd.,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited
Manjushree Financial Institution,MFIL,Manjushree Finance Ltd.
Mithila Laghubitta Bikas Bank,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited
NESDO Sambridha Laghubitta Bittiye Sanstha Limited,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited
NMB Microfinance,NMBMF,NMB Microfinance Bittiya Sanstha Ltd.
Nadep Laghubitta Bittiya Sanstha Ltd.,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.
National Microfinance Bittiya Sanstha Ltd.,NMFBS,National Laghubitta Bittiya Sanstha Limited
Nepal Investment Bank,NIMB,Nepal Investment Mega Bank Limited
Nirdhan Utthan Bank,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited
Panchthar Power Company Ltd.,PPCL,Panchthar Power Compant Limited
Peoples Power Limited,PPL,People's Power Limited
Radhi Bidhyut Company,RADHI,Radhi Bidyut Company Ltd
Sana Kisan Bikas Bank,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited
Swabalamban Bikas Bank,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited
Swarojgar Laghu Bitta Bikas Bank,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.
