Symbol,Name,Sector,Instrument,Status,Email,Website
000011,Samriddhi Finance Company Limited,Finance,Promoter Share,Inactive,cs@sfcl.com.np,sfcl.com.np
00002,National Life Insurance Co. Ltd.,Life Insurance,Promoter Share,Inactive,info@nationallife.com.np,www.nationallife.com.np
ACEDBL,Ace Development Bank Ltd.,Development Banks,Equity,Delisted,info@ace.com.np,
ACEDPO,Ace Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@ace.com.np,
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,aarambhachautari@gmail.com,www.aarambhachautari.com
ACLBSLP,Aarambha Chautari Laghubitta Bittya Sanstha Limited,Microfinance,Promoter Share,Active,aarambhachautari@gmail.com,www.aarambhachautari.com
ADBL,Agricultural Development Bank Limited,Commercial Banks,Equity,Active,cs@adbl.gov.np,
ADBLB,4% Agricultural Bond,Commercial Banks,Non-Convertible Debentures,Active,cs@adbl.gov.np,
ADBLB86,Agricultural Bond (8 Year),Commercial Banks,Non-Convertible Debentures,Active,cs@adbl.gov.np,
ADBLB87,Agricultural Bond (9 Year),Commercial Banks,Non-Convertible Debentures,Active,cs@adbl.gov.np,
ADBLD83,10.35% Agricultural Bank Debenture 2083,Commercial Banks,Non-Convertible Debentures,Active,cs@adbl.gov.np,
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,adarshalbbs@gmail.com,www.adarshamicrofinance.com
ADLBP,Adarsha Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Inactive,adarshalbbs@gmail.com,www.adarshamicrofinance.com
AEFL,Alpic Everest Finance Co. Ltd.,Finance,Equity,Delisted,abc@abc.com,
AEFLPO,Alpic Everest Finance Co. Ltd.,Finance,Promoter Share,Inactive,abc@abc.com,
AFL,Api Finance Limited,Finance,Equity,Delisted,api@fewanet.com.np,
AHL,Asian Hydropower Limited,Hydro Power,Equity,Active,info@asianhydro.com.np,https://asianhydro.com.np/
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power,Equity,Active,arunvalley2054@gmail.com,https://arunhydro.com.np
AIL,Ajod Insurance Limited,Non Life Insurance,Equity,Delisted,info@ajodinsurance.com,www.ajodinsurance.com
AILP,Ajod Insurance Ltd,Non Life Insurance,Promoter Share,Inactive,info@ajodinsurance.com,www.ajodinsurance.com
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,adhikholalaghubitta@gmail.com,www.albs.com.np
AKBSLPO,Adhikhola Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Inactive,adhikholalaghubitta@gmail.com,www.albs.com.np
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power,Equity,Active,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np
AKPL,Arun Kabeli Power Ltd.,Hydro Power,Equity,Active,arunkabeli@gmail.com,
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity,Active,info@ashamicrofinance.com.np,www.ashamicrofinance.com.np
ALBSLP,Asha Laghubitta Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Active,info@ashamicrofinance.com.np,www.ashamicrofinance.com.np
ALDBL,Alpine Development Bank Limited,Development Banks,Equity,Delisted,info@alpinedevbank.com.np,http://www.alpinedevbank.com.np
ALDBLP,Alpine Development Bank Limited,Development Banks,Promoter Share,Inactive,info@alpinedevbank.com.np,http://www.alpinedevbank.com.np
ALICL,Asian Life Insurance Co. Limited,Life Insurance,Equity,Active,asianlife@asianlife.com.np,www.asianlife.com.np
ALICLP,Asian Life Insurance Co Limited,Life Insurance,Promoter Share,Active,asianlife@asianlife.com.np,www.asianlife.com.np
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity,Delisted,aarambhamicrofinance@gmail.com,http://www.aarambhamf.com.np
AMFIPO,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Inactive,aarambhamicrofinance@gmail.com,http://www.aarambhamf.com.np
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,aatmanirbhar2076@gmail.com,https://aatmanirbhar.com.np
ANLBP,Aatmanirbhar Laghubitta Bittitya Sanstha Limited,Microfinance,Promoter Share,Active,aatmanirbhar2076@gmail.com,https://aatmanirbhar.com.np
APEX,Apex Development Bank Ltd.,Development Banks,Equity,Delisted,info@apexbanknepal.com,
APEXPO,Apex Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@apexbanknepal.com,
APHL,Appolo Hydropower Limited,Hydro Power,Equity,Active,buku.khola@gmail.com,www.appolohydro.com
API,Api Power Company Ltd.,Hydro Power,Equity,Active,apipowercompany@gmail.com,www.apipower.com.np
ARDBL,Araniko Development Bank Limited,Development Banks,Equity,Delisted,nabin@aranikobank.com,
ARDBLP,Araniko Development Bank Limited,Development Banks,Promoter Share,Inactive,nabin@aranikobank.com,
